line0,0.0,0.308,0.185,1.0,0.308,0.185
line1,0.0,0.55,0.121,1.0,0.55,0.121
line2,0.0,0.791,0.056,1.0,0.791,0.056
line3,0.25,0.067,0.25,0.25,1.033,-0.009
line4,0.5,0.067,0.25,0.5,1.033,-0.009
line5,0.75,0.067,0.25,0.75,1.033,-0.009
line6,0.0,0.308,0.185,1.0,0.55,0.121
line7,0.0,0.55,0.121,1.0,0.791,0.056
line8,0.0,0.55,0.121,1.0,0.308,0.185
line9,0.0,0.791,0.056,1.0,0.55,0.121
line10,0.25,0.067,0.25,0.5,1.033,-0.009
line11,0.5,0.067,0.25,0.75,1.033,-0.009
line12,0.5,0.067,0.25,0.25,1.033,-0.009
line13,0.75,0.067,0.25,0.5,1.033,-0.009
line14,0.0,0.067,0.25,1.0,1.033,-0.009
line15,0.0,1.033,-0.009,1.0,0.067,0.25
line0,0.0,0.241,0.065,1.0,0.241,0.065
line1,0.0,0.483,0.129,1.0,0.483,0.129
line2,0.0,0.724,0.194,1.0,0.724,0.194
line3,0.25,0.0,0.0,0.25,0.966,0.259
line4,0.5,0.0,0.0,0.5,0.966,0.259
line5,0.75,0.0,0.0,0.75,0.966,0.259
line6,0.0,0.241,0.065,1.0,0.483,0.129
line7,0.0,0.483,0.129,1.0,0.724,0.194
line8,0.0,0.483,0.129,1.0,0.241,0.065
line9,0.0,0.724,0.194,1.0,0.483,0.129
line10,0.25,0.0,0.0,0.5,0.966,0.259
line11,0.5,0.0,0.0,0.75,0.966,0.259
line12,0.5,0.0,0.0,0.25,0.966,0.259
line13,0.75,0.0,0.0,0.5,0.966,0.259
line14,0.0,0.0,0.0,1.0,0.966,0.259
line15,0.0,0.966,0.259,1.0,0.0,0.0
